,Cap.,City,Conference,Division,Enrollment,FirstPlayed,FormerConferences,JoinedFBS,Nickname,Note,ProgramEstablished,School,Stadium,State
0,,Colorado Springs,Mountain West,FBS,"4,237",1955,WAC,,Falcons,,,Air Force,,Colorado
1,,Akron,MAC,FBS,"19,200",1891,"OAC, MCC, OVC",1987,Zips,,,Akron,,Ohio
2,,Tuscaloosa,SEC,FBS,"38,500",1892,"SIAA, SoCon",,Crimson Tide,,,Alabama,,Alabama
3,,Boone,Sun Belt,FBS,"19,100",1928,"NSC, SoCon",2014[n 1],Mountaineers,,,Appalachian State,,North Carolina
4,,Tucson,Pac-12,FBS,"45,200",1899,"BIAA, WAC",,Wildcats,,,Arizona,,Arizona
5,,Tempe,Pac-12,FBS,"51,800",1896,"BIAA, WAC",,Sun Devils,,,Arizona State,,Arizona
6,,Fayetteville,SEC,FBS,"27,800",1894,SWC,,Razorbacks,,,Arkansas,,Arkansas
7,,Jonesboro,Sun Belt,FBS,"22,000",1911,"Arkansas Intercollegiate Conference, Southland, Big West",1992,Red Wolves,,,Arkansas State,,Arkansas
8,,West Point,Independent,FBS,"4,300",1890,C-USA,,Black Knights,,,Army,,New York
9,,Auburn,SEC,FBS,"30,400",1892,"SIAA, SoCon",,Tigers,,,Auburn,,Alabama
10,,Muncie,MAC,FBS,"22,500",1924,"IIC, ICC",,Cardinals,,,Ball State,,Indiana
11,,Waco,Big 12,FBS,"17,200",1899,"TIAA, SWC",,Bears,,,Baylor,,Texas
12,,Boise,Mountain West,FBS,"25,500",1933[n 2],"ICAC, Big Sky, Big West, WAC",1996,Broncos,,,Boise State,,Idaho
13,,Chestnut Hill,ACC,FBS,"14,700",1893,Big East,,Eagles,,,Boston College,,Massachusetts
14,,Bowling Green,MAC,FBS,"23,000",1919,"Northwest Ohio Intercollegiate Athletic Association, OAC",,Falcons,,,Bowling Green,,Ohio
15,,Buffalo,MAC,FBS,"31,500",1894,New York State Conference,1999,Bulls,,,Buffalo,,New York
16,,Provo,Independent,FBS,"33,600",1922,"Rocky Mountain, Mountain States, WAC, MW",,Cougars,,,BYU,,Utah
17,,Berkeley,Pac-12,FBS,"42,500",1882,PCC,,Golden Bears,,,California,,California
18,,Mount Pleasant,MAC,FBS,"21,700",1896,"MCC, IIAC",,Chippewas,,,Central Michigan,,Michigan
19,,Charlotte,C-USA,FBS,"29,700",2013,"Sun Belt, C-USA, A-10",2015,49ers,,,Charlotte,,North Carolina
20,,Cincinnati,American,FBS,"46,000",1885,"OAC, Buckeye Intercollegiate Athletic Association, MAC, MVC, C-USA, Big East",,Bearcats,,,Cincinnati,,Ohio
21,,Clemson,ACC,FBS,"25,000",1896,"SIAA, SAIAA, SoCon",,Tigers,,,Clemson,,South Carolina
22,,Conway,Sun Belt,FBS,"10,600",2003,Big South,2017,Chanticleers,,,Coastal Carolina,,South Carolina
23,,Boulder,Pac-12,FBS,"33,200",1890,"Colorado Football Association, Rocky Mountain, Mountain States, Big Eight, Big 12",,Buffaloes,,,Colorado,,Colorado
24,,Fort Collins,Mountain West,FBS,"33,800",1890,"Colorado Football Association, Rocky Mountain, Mountain States, WAC",,Rams,,,Colorado State,,Colorado
25,,Durham,ACC,FBS,"15,900",1888,SoCon,,Blue Devils,,,Duke,,North Carolina
26,,Greenville,American,FBS,"29,100",1932,"NSC, Carolinas, SoCon, C-USA",,Pirates,,,East Carolina,,North Carolina
27,,Ypsilanti,MAC,FBS,"20,300",1891,"MIAA, MCC, IIAC, PAC",,Eagles,,,Eastern Michigan,,Michigan
28,,Miami,C-USA,FBS,"56,800",2002,Sun Belt,2006,Panthers,,,FIU,,Florida
29,,Gainesville,SEC,FBS,"56,100",1906,"SIAA, SoCon",,Gators,,,Florida,,Florida
30,,Boca Raton,C-USA,FBS,"30,800",2001,Sun Belt,2006,Owls,,,Florida Atlantic,,Florida
31,,Tallahassee,ACC,FBS,"41,900",1947,Dixie,,Seminoles,,,Florida State,,Florida
32,,Fresno,Mountain West,FBS,"25,000",1921,"California Coast Conference, NCAC, CCAA, Big West, WAC",,Bulldogs,,,Fresno State,,California
33,,Athens,SEC,FBS,"38,200",1892,"SIAA, SoCon",,Bulldogs,,,Georgia,,Georgia
34,,Statesboro,Sun Belt,FBS,"26,400",1924,SoCon,2014,Eagles,,,Georgia Southern,,Georgia
35,,Atlanta,Sun Belt,FBS,"52,800",2010,CAA,2013,Panthers,,,Georgia State,,Georgia
36,,Atlanta,ACC,FBS,"32,700",1892,"SIAA, SoCon, SEC",,Yellow Jackets,,,Georgia Tech,,Georgia
37,,Honolulu,Mountain West,FBS,"17,700",1909,WAC,,Rainbow Warriors,,,Hawaii,,Hawai'i
38,,Houston,American,FBS,"42,700",1946,"Lone Star, Gulf Coast, MVC, SWC, C-USA[n 3]",,Cougars,,,Houston,,Texas
39,,Urbana–Champaign,Big Ten,FBS,"51,200",1890,Illinois Intercollegiate Football League,,Fighting Illini,,,Illinois,,Illinois
40,,Bloomington,Big Ten,FBS,"43,700",1887,IIAA,,Hoosiers,,,Indiana,,Indiana
41,,Iowa City,Big Ten,FBS,"33,000",1889,"WIUFA, MVC",,Hawkeyes,,,Iowa,,Iowa
42,,Ames,Big 12,FBS,"33,400",1892,"MVC, Big 8",,Cyclones,,,Iowa State,,Iowa
43,,Lawrence,Big 12,FBS,"27,700",1890,"KCAC, WIUFA, MVC, Big 8",,Jayhawks,,,Kansas,,Kansas
44,,Manhattan,Big 12,FBS,"21,700",1896,"MVC, Big 8",,Wildcats,,,Kansas State,,Kansas
45,,Kent,MAC,FBS,"39,300",1920,OAC,,Golden Flashes,,,Kent State,,Ohio
46,,Lexington,SEC,FBS,"29,200",1881,"SIAA, SoCon",,Wildcats,,,Kentucky,,Kentucky
47,,Lynchburg,FBS Independent,FBS,"15,000",1973,Big South,2017,Flames,,,Liberty,,Virginia
48,,Lafayette,Sun Belt,FBS,"19,200",1902,"Louisiana Intercollegiate Athletic Association, Louisiana Intercollegiate Conference, Gulf States Conference, SIAA, Southland, Big West",,Ragin' Cajuns,,,Louisiana,,Louisiana
49,,Monroe,Sun Belt,FBS,"8,800",1951,"Gulf States Conference, Southland, Independent",1994,Warhawks,,,Louisiana–Monroe,,Louisiana
50,,Ruston,C-USA,FBS,"12,400",1901,"Louisiana Intercollegiate Athletic Association, Louisiana Intercollegiate Conference, Gulf States Conference, SIAA, Southland, Big West, WAC",1989,Bulldogs,,,Louisiana Tech,,Louisiana
51,,Louisville,ACC,FBS,"22,600",1910,"KIAC, SIAA, KIAC, OVC, MVC, C-USA, Big East, American",,Cardinals,,,Louisville,,Kentucky
52,,Baton Rouge,SEC,FBS,"30,800",1893,"SIAA, SoCon",,Tigers,,,LSU,,Louisiana
53,,Huntington,C-USA,FBS,"13,200",1895,"WVIAC, Buckeye Conference, OVC, MAC, SoCon",1997[n 1],Thundering Herd,,,Marshall,,West Virginia
54,,College Park,Big Ten,FBS,"41,200",1888,"MIFA, SAIAA, SoCon, ACC",,Terrapins,,,Maryland,,Maryland
55,,Memphis,American,FBS,"21,500",1912,"Mississippi Valley Conference, SIAA, MVC, C-USA[n 3]",,Tigers,,,Memphis,,Tennessee
56,,Coral Gables[n 4],ACC,FBS,"17,300",1926[2],"SIAA, Big East",,Hurricanes,,,Miami (FL),,Florida
57,,Oxford,MAC,FBS,"24,300",1888,"OAC, Buckeye Conference",,RedHawks,,,Miami (OH),,Ohio
58,,Ann Arbor,Big Ten,FBS,"46,000",1879,,,Wolverines,,,Michigan,,Michigan
59,,East Lansing,Big Ten,FBS,"50,300",1885,MIAA,,Spartans,,,Michigan State,,Michigan
60,,Murfreesboro,C-USA,FBS,"21,900",1911,"VSAC, SIAA, OVC, Sun Belt",1999,Blue Raiders,,,Middle Tennessee,,Tennessee
61,,Minneapolis,Big Ten,FBS,"47,800",1882,,,Golden Gophers,,,Minnesota,,Minnesota
62,,Starkville,SEC,FBS,"22,200",1895,"SIAA, SoCon",,Bulldogs,,,Mississippi State,,Mississippi
63,,Columbia,SEC,FBS,"30,000",1890,"WIUFA, Big 8, Big 12",,Tigers,,,Missouri,,Missouri
64,,Annapolis,American,FBS,"4,600",1879,Independent,,Midshipmen,,,Navy,,Maryland
65,,Raleigh,ACC,FBS,"35,500",1892,"SAIAA, SIAA, SoCon",,Wolfpack,,,NC State,,North Carolina
66,,Lincoln,Big Ten,FBS,"25,800",1890,"WIUFA, MVC, Big 8, Big 12",,Cornhuskers,,,Nebraska,,Nebraska
67,,Reno,Mountain West,FBS,"21,600",1896,"NCAC, Big Sky, Big West, WAC",1992,Wolf Pack,,,Nevada,,Nevada
68,,Albuquerque,Mountain West,FBS,"26,300",1892,"BIAA, WAC",,Lobos,,,New Mexico,,New Mexico
69,,Las Cruces,Independent,FBS,"21,900",1893,"BIAA, MVC, Big West, Sun Belt, WAC",,Aggies,,,New Mexico State,,New Mexico
70,,Chapel Hill,ACC,FBS,"29,800",1888,"SAIAA, SIAA, SoCon",,Tar Heels,,,North Carolina,,North Carolina
71,,Denton,C-USA,FBS,"39,400",1913,"TIAA, Lone Star, Gulf Coast Conference, MVC, Southland, Big West, Sun Belt",1995,Mean Green,,,North Texas,,Texas
72,,DeKalb,MAC,FBS,"20,000",1899,"IIAC, Big West",,Huskies,,,Northern Illinois,,Illinois
73,,Evanston,Big Ten,FBS,"21,200",1876,,,Wildcats,,,Northwestern,,Illinois
74,,South Bend,Independent,FBS,"12,300",1887,,,Fighting Irish,,,Notre Dame,,Indiana
75,,Athens,MAC,FBS,"34,900",1894,"OAC, Buckeye Conference",,Bobcats,,,Ohio,,Ohio
76,,Columbus,Big Ten,FBS,"68,100",1889,OAC,,Buckeyes,,,Ohio State,,Ohio
77,,Norman,Big 12,FBS,"28,500",1895,"Oklahoma Intercollegiate Conference, SWC, MVC, Big 8",,Sooners,,,Oklahoma,,Oklahoma
78,,Stillwater,Big 12,FBS,"25,300",1901,"Oklahoma Intercollegiate Conference, SWC, MVC, Big 8",,Cowboys,,,Oklahoma State,,Oklahoma
79,,Norfolk,C-USA,FBS,"25,000",2009,CAA,2014,Monarchs,,,Old Dominion,,Virginia
80,,Oxford,SEC,FBS,"23,200",1890,"SIAA, SoCon",,Rebels,,,Ole Miss,,Mississippi
81,,Eugene,Pac-12,FBS,"22,700",1894,"PCC, Independent",,Ducks,,,Oregon,,Oregon
82,,Corvallis,Pac-12,FBS,"30,900",1893,"PCC, Independent",,Beavers,,,Oregon State,,Oregon
83,,University Park,Big Ten,FBS,"46,600",1881,,,Nittany Lions,,,Penn State,,Pennsylvania
84,,Pittsburgh,ACC,FBS,"28,600",1890,Big East,,Panthers,,,Pittsburgh,,Pennsylvania
85,,West Lafayette,Big Ten,FBS,"43,400",1887,IIAA,,Boilermakers,,,Purdue,,Indiana
86,,Houston,C-USA,FBS,"7,100",1912,"TIAA, SWC, WAC",,Owls,,,Rice,,Texas
87,,Piscataway,Big Ten,FBS,"70,900",1869,"Middle Atlantic, Big East, American",,Scarlet Knights,,,Rutgers,,New Jersey
88,,San Diego,Mountain West,FBS,"34,900",1921,"Southern California Junior College Conference, SCIAC, CCAA, Big West, WAC",1969,Aztecs,,,San Diego State,,California
89,,San Jose,Mountain West,FBS,"32,800",1892,"California Coast Conference, NCAC, California Collegiate, Big West, WAC",,Spartans,,,San Jose State,,California
90,,University Park,American,FBS,"11,800",1915,"TIAA, SWC, WAC, C-USA[n 3]",,Mustangs,,,SMU,,Texas
91,,Mobile,Sun Belt,FBS,"15,100",2009,,2012,Jaguars,,,South Alabama,,Alabama
92,,Columbia,SEC,FBS,"50,100",1892,"SIAA, SoCon, ACC",,Gamecocks,,,South Carolina,,South Carolina
93,,Tampa,American,FBS,"50,700",1997,"C-USA, Big East",2001,Bulls,,,South Florida,,Florida
94,,Hattiesburg,C-USA,FBS,"14,500",1912,"Gulf States Conference, SIAA",,Golden Eagles,,,Southern Miss,,Mississippi
95,,Stanford,Pac-12,FBS,"16,500",1891,PCC,,Cardinal,,,Stanford,,California
96,,Syracuse,ACC,FBS,"22,900",1889,Big East,,Orange,,,Syracuse,,New York
97,,Fort Worth,Big 12,FBS,"10,400",1896,"TIAA, SWC, WAC, C-USA, MW",,Horned Frogs,,,TCU,,Texas
98,,Philadelphia,American,FBS,"40,000",1894,"Middle Atlantic, Big East, MAC, Big East",,Owls,,,Temple,,Pennsylvania
99,,Knoxville,SEC,FBS,"28,900",1891,"SIAA, SoCon",,Volunteers,,,Tennessee,,Tennessee
100,,Austin,Big 12,FBS,"51,800",1893,"SIAA, TIAA, SWC",,Longhorns,,,Texas,,Texas
101,,College Station,SEC,FBS,"69,400",1894,"SIAA, SWC, Big 12",,Aggies,,,Texas A&M,,Texas
102,,San Marcos,Sun Belt,FBS,"38,800",1904,"TIAA, Lone Star, Gulf Star, Southland, WAC",2012,Bobcats,,,Texas State,,Texas
103,,Lubbock,Big 12,FBS,"38,200",1925,"BIAA, SWC",,Red Raiders,,,Texas Tech,,Texas
104,,Toledo,MAC,FBS,"23,100",1917,"Northwestern Ohio Intercollegiate Athletic Association, OAC",,Rockets,,,Toledo,,Ohio
105,,Troy,Sun Belt,FBS,"18,100",1909,"Alabama Intercollegiate Conference, SIAA, Alabama Collegiate Conference, Mid-South Athletic Conference, Gulf South, Southland",2002,Trojans,,,Troy,,Alabama
106,,New Orleans,American,FBS,"14,100",1893,"SIAA, SoCon, SEC, C-USA",,Green Wave,,,Tulane,,Louisiana
107,,Tulsa,American,FBS,"4,300",1895,"Oklahoma Intercollegiate Conference, Big 4 Conference, MVC, WAC, C-USA",,Golden Hurricane,,,Tulsa,,Oklahoma
108,,Birmingham,C-USA,FBS,"21,900",1991,,1999,Blazers,,,UAB,,Alabama
109,,Orlando,American,FBS,"68,600",1979,"MAC, C-USA",1996,Knights,,,UCF,,Florida
110,,Los Angeles,Pac-12,FBS,"45,400",1919,"SCIAC, PCC",,Bruins,,,UCLA,,California
111,,Storrs[n 5],American,FBS,"32,200",1896,"Yankee, A-10, Big East",2000,Huskies,,,UConn,,Connecticut
112,,Amherst,Independent,FBS,"30,600",1879,"Yankee, A-10, CAA, MAC",2012,Minutemen,,,UMass,,Massachusetts
113,,Las Vegas[n 6],Mountain West,FBS,"30,500",1968,"Big West, WAC",1978,Rebels,,,UNLV,,Nevada
114,,Los Angeles,Pac-12,FBS,"45,700",1888,PCC,,Trojans,,,USC,,California
115,,El Paso,C-USA,FBS,"25,100",1914,"BIAA, WAC",,Miners,,,UTEP,,Texas
116,,San Antonio,C-USA,FBS,"30,700",2011,WAC,2012,Roadrunners,,,UTSA,,Texas
117,,Salt Lake City,Pac-12,FBS,"33,000",1892,"Colorado Football Association, RMAC, Mountain States, WAC, MW",,Utes,,,Utah,,Utah
118,,Logan,Mountain West,FBS,"29,400",1892,"Colorado Football Association, RMAC, Mountain States, Big West, Independent, Sun Belt, WAC",,Aggies,,,Utah State,,Utah
119,,Nashville,SEC,FBS,"13,100",1890,"SIAA, SoCon",,Commodores,,,Vanderbilt,,Tennessee
120,,Charlottesville,ACC,FBS,"24,400",1888,"SAIAA, SoCon",,Cavaliers,,,Virginia,,Virginia
121,,Blacksburg,ACC,FBS,"33,400",1892,"SAIAA, SIAA, SoCon, Big East",,Hokies,,,Virginia Tech,,Virginia
122,,Winston-Salem,ACC,FBS,"8,100",1888,"Big Five Conference, SoCon",,Demon Deacons,,,Wake Forest,,North Carolina
123,,Seattle,Pac-12,FBS,"47,900",1889,PCC,,Huskies,,,Washington,,Washington
124,,Pullman,Pac-12,FBS,"30,600",1893,"PCC, Independent",,Cougars,,,Washington State,,Washington
125,,Morgantown,Big 12,FBS,"30,000",1891,"SoCon, WVIAC, Big East",,Mountaineers,,,West Virginia,,West Virginia
126,,Bowling Green,C-USA,FBS,"20,300",1913,"SIAA, KIAC, OVC, MVFC, Sun Belt",2009,Hilltoppers,,,Western Kentucky,,Kentucky
127,,Kalamazoo,MAC,FBS,"22,900",1905,MCC,,Broncos,,,Western Michigan,,Michigan
128,,Madison,Big Ten,FBS,"44,400",1889,,,Badgers,,,Wisconsin,,Wisconsin
129,,Laramie,Mountain West,FBS,"12,400",1893,"Colorado Football Association, RMAC, WAC",,Cowboys,,,Wyoming,,Wyoming
130,,Abilene,Southland,FCS,,,,,Wildcats,,1919,Abilene Christian University,,Texas
131,,Normal,SWAC,FCS,,,,,Bulldogs,,1912,Alabama A&M University,,Alabama
132,,Montgomery,SWAC,FCS,,,,,Hornets,,1901,Alabama State University,,Alabama
133,,Albany,CAA,FCS,,,,,Great Danes,,1973,"University at Albany, SUNY",,New York
134,,Lorman,SWAC,FCS,,,,,Braves,,1921,Alcorn State University,,Mississippi
135,,Pine Bluff,SWAC,FCS,,,,,Golden Lions,,1916,University of Arkansas at Pine Bluff,,Arkansas
136,,Clarksville,Ohio Valley,FCS,,,,,Governors,,1930,Austin Peay State University,,Tennessee
137,,Daytona Beach,MEAC,FCS,,,,,Wildcats,,1925,Bethune–Cookman University,,Florida
138,,Providence,Ivy,FCS,,,,,Bears,,1878,Brown University,,Rhode Island
139,,Smithfield,Northeast,FCS,,,,,Bulldogs,,1999,Bryant University,,Rhode Island
140,,Lewisburg,Patriot,FCS,,,,,Bison,,1883,Bucknell University,,Pennsylvania
141,,Indianapolis,Pioneer,FCS,,,,,Bulldogs,,1887,Butler University,,Indiana
142,,San Luis Obispo,Big Sky,FCS,,,,,Mustangs,,1915,California Polytechnic State University,,California
143,,Buies Creek,Big South,FCS,,,,,Fighting Camels,,19252008,Campbell University,,North Carolina
144,,Conway,Southland,FCS,,,,,Bears,,1908,University of Central Arkansas,,Arkansas
145,,New Britain,Northeast,FCS,,,,,Blue Devils,,1935,Central Connecticut State University,,Connecticut
146,,North Charleston,Big South,FCS,,,,,Buccaneers,,1985,Charleston Southern University,,South Carolina
147,,Chattanooga,Southern,FCS,,,,,Mocs,,1899,University of Tennessee at Chattanooga,,Tennessee
148,,Charleston,Southern,FCS,,,,,Bulldogs,,1905,"The Citadel, The Military College of South Carolina",,South Carolina
149,,Hamilton,Patriot,FCS,,,,,Raiders,,1890,Colgate University,,New York
150,,New York,Ivy,FCS,,,,,Lions,,1870,Columbia University,,New York
151,,Ithaca,Ivy,FCS,,,,,Big Red,,1887,Cornell University,,New York
152,,Hanover,Ivy,FCS,,,,,Big Green,,1881,Dartmouth College,,New Hampshire
153,,Davidson,Pioneer,FCS,,,,,Wildcats,,1896,Davidson College,,North Carolina
154,,Dayton,Pioneer,FCS,,,,,Flyers,,1903,University of Dayton,,Ohio
155,,Newark,CAA,FCS,,,,,Fightin' Blue Hens,,1888,University of Delaware,,Delaware
156,,Dover,MEAC,FCS,,,,,Hornets,,1924,Delaware State University,,Delaware
157,,Des Moines,Pioneer,FCS,,,,,Bulldogs,,1893,Drake University,,Iowa
158,,Pittsburgh,Northeast,FCS,,,,,Dukes,,1891,Duquesne University,,Pennsylvania
159,,Johnson City,Southern,FCS,,,,,Buccaneers,,19202015,East Tennessee State University,,Tennessee
160,,Charleston,Ohio Valley,FCS,,,,,Panthers,,1899,Eastern Illinois University,,Illinois
161,,Richmond,Ohio Valley,FCS,,,,,Colonels,,1906,Eastern Kentucky University,,Kentucky
162,,Cheney,Big Sky,FCS,,,,,Eagles,,1901,Eastern Washington University,,Washington
163,,Elon,CAA,FCS,,,,,Phoenix,,1909,Elon University,,North Carolina
164,,Tallahassee,MEAC,FCS,,,,,Rattlers,,1907,Florida A&M University,,Florida
165,,New York,Patriot,FCS,,,,,Rams,,1881,Fordham University,,New York
166,,Greenville,Southern,FCS,,,,,Paladins,,1889,Furman University,,South Carolina
167,,Boiling Springs,Big South,FCS,,,,,Runnin' Bulldogs,,1946,Gardner–Webb University,,North Carolina
168,,Washington,Patriot,FCS,,,,,Hoyas,,1881,Georgetown University,,D.C.
169,,Grambling,SWAC,FCS,,,,,Tigers,,1927,Grambling State University,,Louisiana
170,,Hampton,Big South,FCS,,,,,Pirates,,1902,Hampton University,,Virginia
171,,Cambridge[n 1],Ivy,FCS,,,,,Crimson,,1873,Harvard University,,Massachusetts
172,,Worcester,Patriot,FCS,,,,,Crusaders,,1891,College of the Holy Cross,,Massachusetts
173,,Houston,Southland,FCS,,,,,Huskies,,2013,Houston Baptist University,,Texas
174,,Washington,MEAC,FCS,,,,,Bison,,1882,Howard University,,D.C.
175,,Moscow,Big Sky[n 2],FCS,,,,,Vandals,,1893,University of Idaho,,Idaho
176,,Pocatello,Big Sky,FCS,,,,,Bengals,,1902,Idaho State University,,Idaho
177,,Normal,Missouri Valley,FCS,,,,,Redbirds,,1887,Illinois State University,,Illinois
178,,San Antonio,Southland,FCS,,,,,Cardinals,,2009,University of the Incarnate Word,,Texas
179,,Terre Haute,Missouri Valley,FCS,,,,,Sycamores,,1895,Indiana State University,,Indiana
180,,Jackson,SWAC,FCS,,,,,Tigers,,1911,Jackson State University,,Mississippi
181,,Jacksonville,Pioneer,FCS,,,,,Dolphins,,1998,Jacksonville University,,Florida
182,,Jacksonville,Ohio Valley,FCS,,,,,Gamecocks,,1904,Jacksonville State University,,Alabama
183,,Harrisonburg,CAA,FCS,,,,,Dukes,,1972,James Madison University,,Virginia
184,,Kennesaw,Big South,FCS,,,,,Owls,,2015,Kennesaw State University,,Georgia
185,,Easton,Patriot,FCS,,,,,Leopards,,1882,Lafayette College,,Pennsylvania
186,,Beaumont,Southland,FCS,,,,,Cardinals,,19232009,Lamar University,,Texas
187,,Bethlehem,Patriot,FCS,,,,,Mountain Hawks,,1884,Lehigh University,,Pennsylvania
188,,Orono,CAA,FCS,,,,,Black Bears,,1892,University of Maine,,Maine
189,,Poughkeepsie,Pioneer,FCS,,,,,Red Foxes,,1965,Marist College,,New York
190,,Lake Charles,Southland,FCS,,,,,Cowboys,,1950,McNeese State University,,Louisiana
191,,Macon,Southern,FCS,,,,,Bears,,18912013,Mercer University,,Georgia
192,,Itta Bena,SWAC,FCS,,,,,Delta Devils,,1953,Mississippi Valley State University,,Mississippi
193,,Springfield,Missouri Valley,FCS,,,,,Bears,,1909,Missouri State UniversitySouthwest Missouri State,,Missouri
194,,West Long Branch,Big South,FCS,,,,,Hawks,,1993,Monmouth University,,New Jersey
195,,Missoula,Big Sky,FCS,,,,,Grizzlies,,1897,University of Montana,,Montana
196,,Bozeman,Big Sky,FCS,,,,,Bobcats,,1897,Montana State University,,Montana
197,,Morehead,Pioneer,FCS,,,,,Eagles,,1924,Morehead State University,,Kentucky
198,,Baltimore,MEAC,FCS,,,,,Bears,,1897,Morgan State University,,Maryland
