,Cap.,City,Conference,Division,Enrollment,FirstPlayed,FormerConferences,JoinedFBS,Nickname,Note,ProgramEstablished,School,Stadium,State,School Long Name
390,"4,500",Tiffin,G-MAC,DII,,,,,Dragons,,,Tiffin,Frost-Kalnow Stadium,Ohio,Tiffin University
391,"4,000",Kirksville,GLVC,DII,,,,,Bulldogs,,,Truman State,Stokes Stadium,Missouri,Truman State University
392,"3,500",Tusculum,SAC,DII,,,,,Pioneers,,,Tusculum,Pioneer Field,Tennessee,Tusculum University
393,"10,000",Tuskegee,SIAC,DII,,,,,Golden Tigers,,,Tuskegee,Abbott Memorial Alumni Stadium,Alabama,Tuskegee University
394,"3,500",Fayette,NSIC,DII,,,,,Peacocks,,,Upper Iowa,Eischeid Stadium,Iowa,Upper Iowa University
395,"3,000",Urbana,MEC,DII,,,,,Blue Knights,,,Urbana,Urbana University Stadium,Ohio,Urbana University
396,"11,211",Valdosta,Gulf South,DII,,,,,Blazers,,,Valdosta State,Bazemore–Hyder Stadium,Georgia,Valdosta State University
397,"7,909",Ettrick,CIAA,DII,,,,,Trojans,,,Virginia State,Rogers Stadium,Virginia,Virginia State University
398,"10,000",Richmond,CIAA,DII,,,,,Panthers,,,Virginia Union,Hovey Field,Virginia,Virginia Union University
399,"3,100",Wise,SAC,DII,,,,,Cavaliers,,,Virginia's College at Wise,Carl Smith Stadium,Virginia,University of Virginia's College at Wise
400,"23,000",Canton,G-MAC,DII,,,,,Cavaliers,,,Walsh,Tom Benson Hall of Fame Stadium,Ohio,Walsh University
401,"7,250",Topeka,MIAA,DII,,,,,Ichabods,,,Washburn,Yager Stadium at Moore Bowl,Kansas,Washburn University
402,"6,000",Detroit,GLIAC,DII,,,,,Warriors,,,Wayne State,Tom Adams Field,Michigan,Wayne State University
403,"3,500",Wayne,NSIC,DII,,,,,Wildcats,,,Wayne State College,Memorial Stadium,Nebraska,Wayne State College
404,"7,000",Livingston,Gulf South,DII,,,,,Tigers,,,West Alabama,Tiger Stadium,Alabama,University of West Alabama
405,"7,500",West Chester,PSAC,DII,,,,,Golden Rams,,,West Chester,John A. Farrell Stadium,Pennsylvania,West Chester University
406,"5,083",Pensacola,Gulf South,DII,,,,,Argonauts,,,West Florida,Blue Wahoos Stadium,Florida,University of West Florida
407,"13,733",Carrollton,Gulf South,DII,,,,,Wolves,,,West Georgia,University Stadium,Georgia,University of West Georgia
408,"3,200",West Liberty,MEC,DII,,,,,Hilltoppers,,,West Liberty,West Family Stadium,West Virginia,West Liberty University
409,"20,000",Canyon,LSC,DII,,,,,Buffaloes,,,West Texas A&M,Kimbrough Memorial Stadium,Texas,West Texas A&M University
410,"5,000",Institute,MEC,DII,,,,,Yellow Jackets,,,West Virginia State,Lakin Field,West Virginia,West Virginia State University
411,"3,000",Buckhannon,MEC,DII,,,,,Bobcats,,,West Virginia Wesleyan College,Cebe Ross Field,West Virginia,West Virginia Wesleyan College
412,"4,000",Gunnison,RMAC,DII,,,,,Mountaineers,,,Western Colorado,Mountaineer Bowl,Colorado,Western Colorado University
413,"3,000",Silver City,LSC,DII,,,,,Mustangs,,,West. New Mexico,Ben Altamirano Memorial Stadium,New Mexico,Western New Mexico University
414,"2,500",Monmouth,GNAC,DII,,,,,Wolves,,,Western Oregon,McArthur Field,Oregon,Western Oregon University
415,,Wheeling,MEC,DII,,,,,Cardinals,[1],,Wheeling,Bishop Schmitt Field,West Virginia,Wheeling University
416,"7,000",Liberty,GLVC,DII,,,,,Cardinals,,,William Jewell College,Greene Stadium,Missouri,William Jewell College
417,"3,000",Wingate,SAC,DII,,,,,Bulldogs,,,Wingate,Irwin Belk Stadium,North Carolina,Wingate University
418,"3,500",Winona,NSIC,DII,,,,,Warriors,,,Winona State,Maxwell Field at Warrior Stadium,Minnesota,Winona State University
419,"22,000",Winston–Salem,CIAA,DII,,,,,Rams,,,Winston-Salem State,Bowman Gray Stadium,North Carolina,Winston–Salem State University
420,,Adrian,MIAA,DIII,,,,,Bulldogs,,,Adrian,,Michigan,Adrian
421,,Albion,MIAA,DIII,,,,,Britons,,,Albion,,Michigan,Albion
422,,Reading,MAC,DIII,,,,,Lions,,,Albright,,Pennsylvania,Albright
423,,Alfred,Empire 8,DIII,,,,,Saxons,,,Alfred,,New York,Alfred
424,,Alfred,ECFC,DIII,,,,,Pioneers,,,Alfred State,,New York,Alfred State
425,,Meadville,NCAC,DIII,,,,,Gators,,,Allegheny,,Pennsylvania,Allegheny
426,,Alma,MIAA,DIII,,,,,Scots,,,Alma,,Michigan,Alma
427,,Reading,MAC,DIII,,,,,Golden Wolves,,,Alvernia,,Pennsylvania,Alvernia
428,,Amherst,NESCAC,DIII,,,,,Mammoths,,,Amherst,,Massachusetts,Amherst
429,,Anderson,HCAC,DIII,,,,,Ravens,,,Anderson,,Indiana,Anderson
430,,Paxton,ECFC,DIII,,,,,AMCATS,,,Anna Maria,,Massachusetts,Anna Maria
431,,Minneapolis,MIAC,DIII,,,,,Auggies,,,Augsburg,,Minnesota,Augsburg
432,,Rock Island,CCIW,DIII,,,,,Vikings,,,Augustana (IL),,Illinois,Augustana (IL)
433,,Aurora,NACC,DIII,,,,,Spartans,,,Aurora,,Illinois,Aurora
434,,Sherman,SAA,DIII,,,,,Kangaroos,,,Austin,,Texas,Austin
435,,Danville,USA South,DIII,,,,,Cougars,,,Averett,,Virginia,Averett
436,,Berea,OAC,DIII,,,,,Yellow Jackets,,,Baldwin Wallace,,Ohio,Baldwin Wallace
437,,Lewiston,NESCAC,DIII,,,,,Bobcats,,,Bates,,Maine,Bates
438,,Leicester,CCC Football,DIII,,,,,Hawks,,,Becker,,Massachusetts,Becker
439,,Jackson,ASC,DIII,,,,,Blazers,,,Belhaven,,Mississippi,Belhaven
440,,Beloit,MWC,DIII,,,,,Buccaneers,,,Beloit,,Wisconsin,Beloit
441,,Lisle,NACC,DIII,,,,,Eagles,,,Benedictine,,Illinois,Benedictine
442,,Mount Berry,SAA,DIII,,,,,Vikings,,,Berry,,Georgia,Berry
443,,Bethany,PAC,DIII,,,,,Bison,,,Bethany,,West Virginia,Bethany
444,,Arden Hills,MIAC,DIII,,,,,Royals,,,Bethel,,Minnesota,Bethel
445,,Birmingham,SAA,DIII,,,,,Panthers,,,Birmingham-Southern,,Alabama,Birmingham-Southern
446,,Bluffton,HCAC,DIII,,,,,Beavers,,,Bluffton,,Ohio,Bluffton
447,,Brunswick,NESCAC,DIII,,,,,Polar Bears,,,Bowdoin,,Maine,Bowdoin
448,,Brevard,USA South,DIII,,,,,Tornados,,,Brevard[a],,North Carolina,Brevard[a]
449,,Bridgewater,ODAC,DIII,,,,,Eagles,,,Bridgewater,,Virginia,Bridgewater
450,,Bridgewater,MASCAC,DIII,,,,,Bears,,,Bridgewater State,,Massachusetts,Bridgewater State
451,,Brockport,Empire 8,DIII,,,,,Golden Eagles,,,Brockport,,New York,Brockport
452,,Storm Lake,ARC,DIII,,,,,Beavers,,,Buena Vista,,Iowa,Buena Vista
453,,Buffalo,Liberty,DIII,,,,,Bengals,,,Buffalo State,,New York,Buffalo State
454,,Thousand Oaks,SCIAC,DIII,,,,,Kingsmen,,,Cal Lutheran,,California,Cal Lutheran
455,,Columbus,OAC,DIII,,,,,Crusaders,,,Capital,,Ohio,Capital
456,,Northfield,MIAC,DIII,,,,,Knights,,,Carleton,,Minnesota,Carleton
457,,Pittsburgh,PAC,DIII,,,,,Tartans,,,Carnegie Mellon,,Pennsylvania,Carnegie Mellon
458,,Waukesha,CCIW,DIII,,,,,Pioneers,,,Carroll (WI),,Wisconsin,Carroll (WI)
459,,Kenosha,CCIW,DIII,,,,,Red Men,,,Carthage,,Wisconsin,Carthage
460,,Cleveland,PAC,DIII,,,,,Spartans,,,Case Western Reserve,,Ohio,Case Western Reserve
461,,Castleton,ECFC,DIII,,,,,Spartans,,,Castleton,,Vermont,Castleton
462,,Washington,NEWMAC,DIII,,,,,Cardinals,,,Catholic,,District of Columbia,Catholic
463,,Pella,ARC,DIII,,,,,Dutch,,,Central (IA),,Iowa,Central (IA)
464,,Danville,SAA,DIII,,,,,Colonels,,,Centre,,Kentucky,Centre
465,,Orange,SCIAC,DIII,,,,,Panthers,,,Chapman,,California,Chapman
466,,Chicago,MWC,DIII,,,,,Maroons,,,Chicago,,Illinois,Chicago
467,,Newport News,NJAC,DIII,,,,,Captains,,,Christopher Newport,,Virginia,Christopher Newport
468,,Claremont,SCIAC,DIII,,,,,Stags,,,Claremont-Mudd-Scripps,,California,Claremont-Mudd-Scripps
469,,New London,NEWMAC,DIII,,,,,Bears,,,Coast Guard,,Connecticut,Coast Guard
470,,Cedar Rapids,ARC,DIII,,,,,Kohawks,,,Coe,,Iowa,Coe
471,,Waterville,NESCAC,DIII,,,,,White Mules,,,Colby,,Maine,Colby
472,,Ewing,NJAC,DIII,,,,,Lions,,,College of New Jersey,,New Jersey,College of New Jersey
473,,River Forest,NACC,DIII,,,,,Cougars,,,Concordia (IL),,Illinois,Concordia (IL)
474,,Moorhead,MIAC,DIII,,,,,Cobbers,,,Concordia (Moorhead),,Minnesota,Concordia (Moorhead)
475,,Mequon,NACC,DIII,,,,,Falcons,,,Concordia (WI),,Wisconsin,Concordia (WI)
476,,Mount Vernon,MWC,DIII,,,,,Rams,,,Cornell (IA),,Iowa,Cornell (IA)
477,,Cortland,Empire 8,DIII,,,,,Red Dragons,,,Cortland State,,New York,Cortland State
478,,St. Bonifacius,UMAC,DIII,,,,,Storm,,,Crown,,Minnesota,Crown
479,,Milton,CCC Football,DIII,,,,,Colonels,,,Curry,,Massachusetts,Curry
480,,Franklin,ECFC,DIII,,,,,Bulldogs,,,Dean,,Massachusetts,Dean
481,,Defiance,HCAC,DIII,,,,,YellowJackets,,,Defiance,,Ohio,Defiance
482,,Doylestown,MAC,DIII,,,,,Aggies,,,Delaware Valley,,Pennsylvania,Delaware Valley
483,,Granville,NCAC,DIII,,,,,Big Red,,,Denison,,Ohio,Denison
484,,Greencastle,NCAC,DIII,,,,,Tigers,,,DePauw,,Indiana,DePauw
485,,Carlisle,Centennial,DIII,,,,,Red Devils,,,Dickinson,,Pennsylvania,Dickinson
486,,Dubuque,ARC,DIII,,,,,Spartans,,,Dubuque,,Iowa,Dubuque
487,,Marshall,ASC,DIII,,,,,Tigers,,,East Texas Baptist,,Texas,East Texas Baptist
488,,Elmhurst,CCIW,DIII,,,,,Bluejays,,,Elmhurst,,Illinois,Elmhurst
489,,Emory,ODAC,DIII,,,,,Wasps,,,Emory & Henry,,Virginia,Emory & Henry
490,,Beverly,CCC Football,DIII,,,,,Gulls,,,Endicott,,Massachusetts,Endicott
491,,Eureka,UMAC,DIII,,,,,Red Devils,,,Eureka,,Illinois,Eureka
492,,Madison,MAC,DIII,,,,,Devils,,,FDU-Florham,,New Jersey,FDU-Florham
493,,Ferrum,ODAC,DIII,,,,,Panthers,,,Ferrum,,Virginia,Ferrum
494,,Hancock,MIAA,DIII,,,,,Lions,,,Finlandia,,Michigan,Finlandia
495,,Fitchburg,MASCAC,DIII,,,,,Falcons,,,Fitchburg State,,Massachusetts,Fitchburg State
496,,Framingham,MASCAC,DIII,,,,,Rams,,,Framingham State,,Massachusetts,Framingham State
497,,Franklin,HCAC,DIII,,,,,Grizzlies,,,Franklin,,Indiana,Franklin
498,,Lancaster,Centennial,DIII,,,,,Diplomats,,,Franklin & Marshall,,Pennsylvania,Franklin & Marshall
499,,Washington,ECFC,DIII,,,,,Bison,,,Gallaudet,,District of Columbia,Gallaudet
500,,Beaver Falls,PAC,DIII,,,,,Golden Tornadoes,,,Geneva,,Pennsylvania,Geneva
501,,Newberg,NWC,DIII,,,,,Bruins,,,George Fox,,Oregon,George Fox
502,,Gettysburg,Centennial,DIII,,,,,Bullets,,,Gettysburg,,Pennsylvania,Gettysburg
503,,Greensboro,USA South,DIII,,,,,Pride,,,Greensboro,,North Carolina,Greensboro
504,,Greenville,UMAC,DIII,,,,,Panthers,,,Greenville,,Illinois,Greenville
505,,Grinnell,MWC,DIII,,,,,Pioneers,,,Grinnell,,Iowa,Grinnell
506,,Grove City,PAC,DIII,,,,,Wolverines,,,Grove City,,Pennsylvania,Grove City
507,,Greensboro,ODAC,DIII,,,,,Quakers,,,Guilford,,North Carolina,Guilford
508,,St. Peter,MIAC,DIII,,,,,Gusties,,,Gustavus Adolphus,,Minnesota,Gustavus Adolphus
509,,Clinton,NESCAC,DIII,,,,,Continentals,,,Hamilton,,New York,Hamilton
510,,St. Paul,MIAC,DIII,,,,,Pipers,,,Hamline,,Minnesota,Hamline
511,,Hampden Sydney,ODAC,DIII,,,,,Tigers,,,Hampden–Sydney,,Virginia,Hampden–Sydney
512,,Hanover,HCAC,DIII,,,,,Panthers,,,Hanover,,Indiana,Hanover
513,,Abilene,ASC,DIII,,,,,Cowboys,,,Hardin–Simmons,,Texas,Hardin–Simmons
514,,Oneonta,Empire 8,DIII,,,,,Hawks,,,Hartwick,,New York,Hartwick
515,,Tiffin,OAC,DIII,,,,,Student Princes,,,Heidelberg,,Ohio,Heidelberg
516,,Conway,SAA,DIII,,,,,Warriors,,,Hendrix,,Arkansas,Hendrix
517,,Hiram,NCAC,DIII,,,,,Terriers,,,Hiram,,Ohio,Hiram
518,,Geneva,Liberty,DIII,,,,,Statesmen,,,Hobart,,New York,Hobart
519,,Holland,MIAA,DIII,,,,,Flying Dutchmen,,,Hope,,Michigan,Hope
520,,Brownwood,ASC,DIII,,,,,Yellow Jackets,,,Howard Payne,,Texas,Howard Payne
521,,Montgomery,USA South,DIII,,,,,Hawks,,,Huntingdon,,Alabama,Huntingdon
522,,Bangor,CCC Football,DIII,,,,,Eagles,,,Husson,,Maine,Husson
523,,Jacksonville,MWC,DIII,,,,,Blueboys,,,Illinois College,,Illinois,Illinois College
524,,Bloomington,CCIW,DIII,,,,,Titans,,,Illinois Wesleyan,,Illinois,Illinois Wesleyan
525,,Mt. Pleasant,UMAC,DIII,,,,,Tigers,,,Iowa Wesleyan,,Iowa,Iowa Wesleyan
526,,Ithaca,Liberty,DIII,,,,,Bombers,,,Ithaca,,New York,Ithaca
527,,University Heights,OAC,DIII,,,,,Blue Streaks,,,John Carroll,,Ohio,John Carroll
528,,Baltimore,Centennial,DIII,,,,,Blue Jays,,,Johns Hopkins,,Maryland,Johns Hopkins
529,,Huntingdon,Centennial,DIII,,,,,Eagles,,,Juniata,,Pennsylvania,Juniata
530,,Kalamazoo,MIAA,DIII,,,,,Hornets,,,Kalamazoo,,Michigan,Kalamazoo
531,,Union Township,NJAC,DIII,,,,,Cougars,,,Kean,,New Jersey,Kean
532,,Gambier,NCAC,DIII,,,,,Lords,,,Kenyon,,Ohio,Kenyon
533,,Wilkes-Barre,MAC,DIII,,,,,Monarchs,,,King's,,Pennsylvania,King's
534,,Galesburg,MWC,DIII,,,,,Prairie Fire,,,Knox,,Illinois,Knox
535,,La Verne,SCIAC,DIII,,,,,Leopards,,,La Verne,,California,La Verne
536,,LaGrange,USA South,DIII,,,,,Panthers,,,LaGrange,,Georgia,LaGrange
537,,Lake Forest,MWC,DIII,,,,,Foresters,,,Lake Forest,,Illinois,Lake Forest
538,,Sheboygan,NACC,DIII,,,,,Muskies,,,Lakeland,,Wisconsin,Lakeland
539,,Appleton,MWC,DIII,,,,,Vikings,,,Lawrence,,Wisconsin,Lawrence
540,,Annville,MAC,DIII,,,,,Flying Dutchmen,,,Lebanon Valley,,Pennsylvania,Lebanon Valley
541,,Portland,NWC,DIII,,,,,Pioneers,,,Lewis & Clark,,Oregon,Lewis & Clark
542,,McMinnville,NWC,DIII,,,,,Wildcats,,,Linfield,,Oregon,Linfield
543,,Dubuque,ARC,DIII,,,,,Duhawks,,,Loras,,Iowa,Loras
544,,Pineville,ASC,DIII,,,,,Wildcats,,,Louisiana College,,Louisiana,Louisiana College
545,,Decorah,ARC,DIII,,,,,Norse,,,Luther,,Iowa,Luther
546,,Williamsport,MAC,DIII,,,,,Warriors,,,Lycoming,,Pennsylvania,Lycoming
547,,St. Paul,MWC,DIII,,,,,Scots,,,Macalester,,Minnesota,Macalester
548,,Jacksonville,UMAC,DIII,,,,,Highlanders,,,MacMurray,,Illinois,MacMurray
549,,Castine,NEWMAC,DIII,,,,,Mariners,,,Maine Maritime,,Maine,Maine Maritime
550,,North Manchester,HCAC,DIII,,,,,Spartans,,,Manchester,,Indiana,Manchester
551,,Marietta,OAC,DIII,,,,,Pioneers,,,Marietta,,Ohio,Marietta
552,,New Ulm,UMAC,DIII,,,,,Knights,,,Martin Luther,,Minnesota,Martin Luther
553,,Belton,ASC,DIII,,,,,Crusaders,,,Mary Hardin–Baylor,,Texas,Mary Hardin–Baylor
554,,Maryville,USA South,DIII,,,,,Scots,,,Maryville,,Tennessee,Maryville
555,,North Dartmouth,MASCAC,DIII,,,,,Corsairs,,,UMass Dartmouth,,Massachusetts,UMass Dartmouth
556,,Buzzards Bay,MASCAC,DIII,,,,,Buccaneers,,,Massachusetts Maritime,,Massachusetts,Massachusetts Maritime
557,,Westminster,Centennial,DIII,,,,,Green Terror,,,McDaniel,,Maryland,McDaniel
558,,Abilene,ASC,DIII,,,,,War Hawks,,,McMurry,,Texas,McMurry
559,,Kings Point,NEWMAC,DIII,,,,,Mariners,,,Merchant Marine,,New York,Merchant Marine
560,,Fayetteville,USA South,DIII,,,,,Monarchs,,,Methodist,,North Carolina,Methodist
561,,Middlebury,NESCAC,DIII,,,,,Panthers,,,Middlebury,,Vermont,Middlebury
562,,Decatur,CCIW,DIII,,,,,Big Blue,,,Millikin,,Illinois,Millikin
563,,Jackson,SAA,DIII,,,,,Majors,,,Millsaps,,Mississippi,Millsaps
564,,Morris,UMAC,DIII,,,,,Cougars,,,Minnesota-Morris,,Minnesota,Minnesota-Morris
565,,Dallas,MAC,DIII,,,,,Cougars,,,Misericordia,,Pennsylvania,Misericordia
566,,Cambridge,NEWMAC,DIII,,,,,Engineers,,,MIT,,Massachusetts,MIT
567,,Monmouth,MWC,DIII,,,,,Fighting Scots,,,Monmouth (IL),,Illinois,Monmouth (IL)
568,,Upper Montclair,NJAC,DIII,,,,,Red Hawks,,,Montclair State,,New Jersey,Montclair State
569,,Bethlehem,Centennial,DIII,,,,,Greyhounds,,,Moravian,,Pennsylvania,Moravian
570,,Alliance,OAC,DIII,,,,,Purple Raiders,,,Mount Union,,Ohio,Mount Union
571,,Cincinnati,HCAC,DIII,,,,,Lions,,,Mount St. Joseph,,Ohio,Mount St. Joseph
572,,Allentown,Centennial,DIII,,,,,Mules,,,Muhlenberg,,Pennsylvania,Muhlenberg
573,,New Concord,OAC,DIII,,,,,Fighting Muskies,,,Muskingum,,Ohio,Muskingum
574,,Lincoln,ARC,DIII,,,,,Prairie Wolves,,,Nebraska Wesleyan,,Nebraska,Nebraska Wesleyan
575,,Biddeford,CCC Football,DIII,,,,,Nor'easters,,,New England (ME),,Maine,New England (ME)
576,,Dudley,CCC Football,DIII,,,,,Bison,,,Nichols,,Massachusetts,Nichols
577,,Rocky Mount,USA South,DIII,,,,,Battling Bishops,,,North Carolina Wesleyan,,North Carolina,North Carolina Wesleyan
578,,Naperville,CCIW,DIII,,,,,Cardinals,,,North Central,,Illinois,North Central
579,,Chicago,CCIW,DIII,,,,,Vikings,,,North Park,,Illinois,North Park
580,,Roseville,UMAC,DIII,,,,,Eagles,,,Northwestern (MN),,Minnesota,Northwestern (MN)
581,,Northfield,NEWMAC,DIII,,,,,Cadets,,,Norwich,,Vermont,Norwich
582,,Oberlin,NCAC,DIII,,,,,Yeomen,,,Oberlin,,Ohio,Oberlin
583,,Eagle Rock,SCIAC,DIII,,,,,Tigers,,,Occidental,,California,Occidental
584,,Ada,OAC,DIII,,,,,Polar Bears,,,Ohio Northern,,Ohio,Ohio Northern
585,,Delaware,NCAC,DIII,,,,,Battling Bishops,,,Ohio Wesleyan,,Ohio,Ohio Wesleyan
586,,Olivet,MIAA,DIII,,,,,Comets,,,Olivet,,Michigan,Olivet
587,,Westerville,OAC,DIII,,,,,Cardinals,,,Otterbein,,Ohio,Otterbein
588,,Forest Grove,NWC,DIII,,,,,Boxers,,,Pacific (OR),,Oregon,Pacific (OR)
589,,Tacoma,NWC,DIII,,,,,Lutes,,,Pacific Lutheran,,Washington,Pacific Lutheran
590,,Plymouth,MASCAC,DIII,,,,,Panthers,,,Plymouth State,,New Hampshire,Plymouth State
591,,Claremont,SCIAC,DIII,,,,,Sagehens,,,Pomona-Pitzer,,California,Pomona-Pitzer
592,,Tacoma,NWC,DIII,,,,,Loggers,,,Puget Sound,,Washington,Puget Sound
593,,Ashland,ODAC,DIII,,,,,Yellow Jackets,,,Randolph–Macon,,Virginia,Randolph–Macon
594,,Redlands,SCIAC,DIII,,,,,Bulldogs,,,Redlands,,California,Redlands
595,,Memphis,SAA,DIII,,,,,Lynx,,,Rhodes,,Tennessee,Rhodes
596,,Ripon,MWC,DIII,,,,,Red Hawks,,,Ripon,,Wisconsin,Ripon
597,,Rochester,Liberty,DIII,,,,,Yellowjackets,,,Rochester,,New York,Rochester
598,,Rockford,NACC,DIII,,,,,Regents,,,Rockford,,Illinois,Rockford
599,,Terre Haute,HCAC,DIII,,,,,Engineers,,,Rose–Hulman,,Indiana,Rose–Hulman
600,,Glassboro,NJAC,DIII,,,,,Profs,,,Rowan,,New Jersey,Rowan
601,,Troy,Liberty,DIII,,,,,Engineers,,,RPI,,New York,RPI
602,,Pittsford,Empire 8,DIII,,,,,Cardinals,,,St. John Fisher,,New York,St. John Fisher
603,,Collegeville,MIAC,DIII,,,,,Johnnies,,,St. John's (MN),,Minnesota,St. John's (MN)
604,,Canton,Liberty,DIII,,,,,Saints,,,St. Lawrence,,New York,St. Lawrence
605,,De Pere,MWC,DIII,,,,,Green Knights,,,St. Norbert,,Wisconsin,St. Norbert
606,,Northfield,MIAC,DIII,,,,,Oles,,,St. Olaf,,Minnesota,St. Olaf
607,,Duluth,UMAC,DIII,,,,,Saints,,,St. Scholastica,,Minnesota,St. Scholastica
608,,St. Paul,MIAC,DIII,,,,,Tommies,,,St. Thomas,,Minnesota,St. Thomas
609,,Latrobe,PAC,DIII,,,,,Bearcats,,,St. Vincent,,Pennsylvania,St. Vincent
610,,Salisbury,NJAC,DIII,,,,,Seagulls,,,Salisbury,,Maryland,Salisbury
611,,Newport,CCC Football,DIII,,,,,Seahawks,,,Salve Regina,,Rhode Island,Salve Regina
612,,Sewanee,SAA,DIII,,,,,Tigers,,,Sewanee,,Tennessee,Sewanee
613,,Winchester,ODAC,DIII,,,,,Hornets,,,Shenandoah,,Virginia,Shenandoah
614,,Indianola,ARC,DIII,,,,,Storm,,,Simpson,,Iowa,Simpson
615,,Buena Vista,ODAC,DIII,,,,,Knights,,,Southern Virginia,,Virginia,Southern Virginia
616,,Georgetown,ASC,DIII,,,,,Pirates,,,Southwestern,,Texas,Southwestern
617,,Springfield,NEWMAC,DIII,,,,,Pride,,,Springfield,,Massachusetts,Springfield
618,,Owings Mills,MAC,DIII,,,,,Mustangs,,,Stevenson,,Maryland,Stevenson
619,,Alpine,ASC,DIII,,,,,Lobos,,,Sul Ross State,,Texas,Sul Ross State
620,,Bronx,ECFC,DIII,,,,,Privateers,,,SUNY-Maritime,,New York,SUNY-Maritime
621,,Morrisville,Empire 8,DIII,,,,,Mustangs,,,SUNY-Morrisville,,New York,SUNY-Morrisville
622,,Selinsgrove,Centennial,DIII,,,,,River Hawks,,,Susquehanna,,Pennsylvania,Susquehanna
623,,Seguin,ASC,DIII,,,,,Bulldogs,,,Texas Lutheran,,Texas,Texas Lutheran
624,,Greenville,PAC,DIII,,,,,Tomcats,,,Thiel,,Pennsylvania,Thiel
625,,Angola,MIAA,DIII,,,,,Thunder,,,Trine,,Indiana,Trine
626,,Hartford,NESCAC,DIII,,,,,Bantams,,,Trinity (CT),,Connecticut,Trinity (CT)
627,,San Antonio,SAA,DIII,,,,,Tigers,,,Trinity (TX),,Texas,Trinity (TX)
628,,Medford,NESCAC,DIII,,,,,Jumbos,,,Tufts,,Massachusetts,Tufts
629,,Schenectady,Liberty,DIII,,,,,Dutchmen,,,Union,,New York,Union
630,,Collegeville,Centennial,DIII,,,,,Bears,,,Ursinus,,Pennsylvania,Ursinus
631,,Utica,Empire 8,DIII,,,,,Pioneers,,,Utica,,New York,Utica
632,,Crawfordsville,NCAC,DIII,,,,,Little Giants,,,Wabash,,Indiana,Wabash
633,,Waverly,ARC,DIII,,,,,Knights,,,Wartburg,,Iowa,Wartburg
634,,Washington,PAC,DIII,,,,,Presidents,,,Washington & Jefferson,,Pennsylvania,Washington & Jefferson
635,,Lexington,ODAC,DIII,,,,,Generals,,,Washington & Lee,,Virginia,Washington & Lee
636,,St. Louis,CCIW,DIII,,,,,Bears,,,Washington (MO),,Missouri,Washington (MO)
637,,Waynesburg,PAC,DIII,,,,,Yellow Jackets,,,Waynesburg,,Pennsylvania,Waynesburg
638,,Dover,NJAC,DIII,,,,,Wolverines,,,Wesley,,Delaware,Wesley
639,,Middletown,NESCAC,DIII,,,,,Cardinals,,,Wesleyan,,Connecticut,Wesleyan
640,,Danbury,MASCAC,DIII,,,,,Colonials,,,Western Connecticut,,Connecticut,Western Connecticut
641,,Springfield,CCC Football,DIII,,,,,Golden Bears,,,Western New England,,Massachusetts,Western New England
642,,Westfield,MASCAC,DIII,,,,,Owls,,,Westfield State,,Massachusetts,Westfield State
643,,Fulton,UMAC,DIII,,,,,Blue Jays,,,Westminster (MO),,Missouri,Westminster (MO)
644,,New Wilmington,PAC,DIII,,,,,Titans,,,Westminster (PA),,Pennsylvania,Westminster (PA)
645,,Wheaton,CCIW,DIII,,,,,Thunder,,,Wheaton,,Illinois,Wheaton (IL)
646,,Whittier,SCIAC,DIII,,,,,Poets,,,Whittier,,California,Whittier
647,,Spokane,NWC,DIII,,,,,Pirates,,,Whitworth,,Washington,Whitworth
648,,Chester,MAC,DIII,,,,,Pride,,,Widener,,Pennsylvania,Widener
649,,Wilkes-Barre,MAC,DIII,,,,,Colonels,,,Wilkes,,Pennsylvania,Wilkes
650,,Salem,NWC,DIII,,,,,Bearcats,,,Willamette,,Oregon,Willamette
651,,Wayne,NJAC,DIII,,,,,Pioneers,,,William Paterson,,New Jersey,William Paterson
652,,Williamstown,NESCAC,DIII,,,,,Ephs,,,Williams,,Massachusetts,Williams
653,,Wilmington,OAC,DIII,,,,,Quakers,,,Wilmington,,Ohio,Wilmington
654,,Milwaukee,NACC,DIII,,,,,Warriors,,,Wisconsin Lutheran,,Wisconsin,Wisconsin Lutheran
655,,Eau Claire,WIAC,DIII,,,,,Blugolds,,,UW–Eau Claire,,Wisconsin,UW–Eau Claire
656,,La Crosse,WIAC,DIII,,,,,Eagles,,,UW–La Crosse,,Wisconsin,UW–La Crosse
657,,Oshkosh,WIAC,DIII,,,,,Titans,,,UW–Oshkosh,,Wisconsin,UW–Oshkosh
658,,Platteville,WIAC,DIII,,,,,Pioneers,,,UW–Platteville,,Wisconsin,UW–Platteville
659,,River Falls,WIAC,DIII,,,,,Falcons,,,UW–River Falls,,Wisconsin,UW–River Falls
660,,Stevens Point,WIAC,DIII,,,,,Pointers,,,Wisconsin–Stevens Point,,Wisconsin,UW–Stevens Point
661,,Menomonie,WIAC,DIII,,,,,Blue Devils,,,Wisconsin–Stout,,Wisconsin,UW–Stout
662,,Whitewater,WIAC,DIII,,,,,Warhawks,,,Wisconsin–Whitewater,,Wisconsin,UW–Whitewater
663,,Springfield,NCAC,DIII,,,,,Tigers,,,Wittenberg,,Ohio,Wittenberg
664,,Wooster,NCAC,DIII,,,,,Fighting Scots,,,Wooster,,Ohio,Wooster
665,,Worcester,NEWMAC,DIII,,,,,Engineers,,,Worcester Poly,,Massachusetts,Worcester Poly
666,,Worcester,MASCAC,DIII,,,,,Lancers,,,Worcester State,,Massachusetts,Worcester State
